Source_ID,Source_Type,Title,URL,Authority_Level,Publication_Year,Use_Case,Notes,Last_Checked
SRC-001,Regulatory,FDA Medical Device Databases,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,Tier 1,,Device verification and clearance lookup,Primary source for all FDA device regulatory status,2026-04-07
SRC-002,Regulatory,FDA 510(k) Premarket Notification Database,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm,Tier 1,,510(k) clearance verification,"Search by K-number, device name, or manufacturer",2026-04-07
SRC-003,Regulatory,FDA PMA Database,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm,Tier 1,,PMA approval verification,"Search by PMA number, device name, or manufacturer",2026-04-07
SRC-004,Regulatory,FDA De Novo Classification Database,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm,Tier 1,,De Novo authorization verification,Used for BrainsWay OCD De Novo DEN170078,2026-04-07
SRC-005,Regulatory,FDA HDE Database,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfhde/hde.cfm,Tier 1,,Humanitarian Device Exemption verification,Used for Medtronic DBS OCD (H050003) and dystonia (H020007),2026-04-07
SRC-006,Regulatory,EUDAMED / EU Medical Devices Overview,https://health.ec.europa.eu/medical-devices-eudamed/overview_en,Tier 1,,EU device registration and public information,Public availability and completeness may vary,2026-04-07
SRC-007,Guideline,CANMAT 2023 Depression Guidelines Update,https://pubmed.ncbi.nlm.nih.gov/38711351/,Tier 1,2023,MDD treatment guidelines including neuromodulation,"Includes TMS, iTBS as recommended neuromodulation options",2026-04-07
SRC-008,Guideline,European IFCN Guidelines for Therapeutic tDCS/rTMS (Lefaucheur et al.),https://pubmed.ncbi.nlm.nih.gov/31230833/,Tier 1,2020,Evidence-based guidelines for noninvasive brain stimulation,Level A/B recommendations for specific condition-modality pairs,2026-04-07
SRC-009,Meta-analysis,"THREE-D Trial: iTBS vs 10 Hz rTMS for Depression (Blumberger et al., Lancet)",https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(20)30093-6/fulltext,Tier 2,2018,iTBS non-inferiority evidence for MDD,n=388; iTBS non-inferior to 10 Hz; basis for iTBS adoption,2026-04-07
SRC-010,Meta-analysis,"Neurofeedback ADHD Meta-Analysis (Cortese et al., JAMA Psychiatry 2024)",https://pubmed.ncbi.nlm.nih.gov/39661381/,Tier 2,2024,Neurofeedback ADHD evidence — blinded outcomes,"38 RCTs, n=2472; probably-blinded SMD=0.04 (not significant). Critical evidence caution.",2026-04-07
SRC-011,Meta-analysis,tDCS for Depression Meta-Analysis 2024 (Nature),https://www.nature.com/articles/s41398-024-03003-w,Tier 2,2024,tDCS depression evidence summary,32 studies; SMD=-0.355 overall; 2 mA > 1 mA,2026-04-07
SRC-012,Meta-analysis,CES for Anxiety Meta-Analysis 2022,https://pubmed.ncbi.nlm.nih.gov/35757229/,Tier 2,2022,CES anxiety evidence,"11 RCTs, n=794; g=-0.625; Alpha-Stim: ES=-1.05",2026-04-07
SRC-013,Meta-analysis,taVNS for Depression Meta-Analysis 2023,https://pubmed.ncbi.nlm.nih.gov/37230264/,Tier 2,2023,taVNS depression evidence,"12 studies, n=838; GRADE: low to very low quality",2026-04-07
SRC-014,Meta-analysis,rTMS for PTSD Meta-Analysis 2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12452984/,Tier 2,2025,TMS PTSD evidence,"15 studies, n=760; SMD=1.29; dose-response relationship",2026-04-07
SRC-015,Meta-analysis,rTMS for Stroke Motor Recovery 2024,https://pubmed.ncbi.nlm.nih.gov/39320286/,Tier 2,2024,TMS stroke rehabilitation evidence,Low-RoB RCTs; significant FMA-UE improvement,2026-04-07
SRC-016,Meta-analysis,rTMS for Tinnitus 2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12037475/,Tier 2,2025,TMS tinnitus evidence,"16 RCTs, n=1105; positive short-term, NOT durable at 6 months",2026-04-07
SRC-017,Meta-analysis,VNS for Epilepsy Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC9119900/,Tier 2,2022,VNS epilepsy evidence,OR 2.27 for ≥50% seizure reduction,2026-04-07
SRC-018,Clinical Trial,SANTE Trial (ANT-DBS for Epilepsy),https://www.neurology.org/doi/10.1212/WNL.0000000000206887,Tier 2,2010,ANT-DBS epilepsy pivotal trial,n=110; 68% responder rate at 5 years,2026-04-07
SRC-019,Meta-analysis,rTMS for Parkinson's Disease (JAMA Neurology 2015),https://jamanetwork.com/journals/jamaneurology/fullarticle/2110221,Tier 2,2015,TMS PD evidence,27 RCTs; significant motor improvement; dose-response,2026-04-07
SRC-020,Meta-analysis,Home-Based tDCS for Chronic Pain 2024,https://journals.sagepub.com/doi/10.1177/20552076241292677,Tier 2,2024,tDCS chronic pain evidence,11 RCTs; SMD=-0.95; fibromyalgia and knee OA responded,2026-04-07
SRC-021,Safety Guideline,TMS Safety Guidelines (Rossi et al. 2009/2020),https://pubmed.ncbi.nlm.nih.gov/19833552/,Tier 1,2009,TMS safety screening and guidelines,Basis for TMS contraindication screening worldwide,2026-04-07
SRC-022,Regulatory,BrainsWay OCD De Novo Clearance (DEN170078),https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?id=DEN170078,Tier 1,2018,First non-invasive device OCD clearance,De Novo authorization Aug 2018,2026-04-07
SRC-023,Regulatory,Flow FL-100 PMA Approval (P230024),https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P230024,Tier 1,2025,First and only tDCS PMA approval,"Approved Dec 8, 2025 for moderate-severe MDD",2026-04-07
SRC-024,Meta-analysis,BRIGhTMIND Trial (Nature Medicine 2023),https://www.nature.com/articles/s41591-023-02764-z,Tier 2,2023,Connectivity-guided iTBS for TRD,cgiTBS more efficacious at 26 weeks in TRD,2026-04-07
SRC-025,Regulatory,ADAPT-PD Adaptive DBS FDA Approval,http://braininitiative.nih.gov/news-events/blog/brain-initiative-research-leads-fda-approval-adaptive-deep-brain-stimulation,Tier 1,2025,Adaptive DBS approval for PD,Medtronic BrainSense aDBS; Feb 2025,2026-04-07
SRC-026,Meta-analysis,Neurofeedback ADHD Cortese 2016,https://pubmed.ncbi.nlm.nih.gov/27238063/,Tier 2,2016,Original NF ADHD blinding analysis,"13 trials, n=520; effects not significant with probably-blinded outcomes",2026-04-07
SRC-027,Meta-analysis,CES Insomnia Critical Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7882621/,Tier 2,2021,CES insomnia evidence review,About half of high-quality studies show improvement,2026-04-07
SRC-028,Meta-analysis,rTMS for OCD (SMA 1 Hz),https://pmc.ncbi.nlm.nih.gov/articles/PMC4813271/,Tier 2,2016,rTMS SMA for OCD evidence,Double-blind RCT; significant Y-BOCS decrease,2026-04-07
SRC-029,Regulatory,gammaCore FDA De Novo (DEN150048),https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN150048.pdf,Tier 1,2017,gammaCore cluster headache clearance basis,FDA SSED for episodic cluster headache,2026-04-07
SRC-030,Meta-analysis,JAMA tES for Depression 2025,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2835422,Tier 2,2025,Transcranial electrical stimulation depression evidence,tDCS + medication superior to monotherapy,2026-04-07
